STATE_ID;YEAR;POPULATION
37;2013;5415949
38;2013;2061085
39;2013;46512199
40;2013;9644864
41;2013;8139631
42;2013;2065769
43;2013;76667864
44;2013;45245894
45;2013;57408654
46;2013;1840498
47;2013;5347600
2;2014;2885796
3;2014;3010598
4;2014;8584926
5;2014;9593038
6;2014;11237274
7;2014;3429400
8;2014;7202198
9;2014;4225316
10;2014;847008
11;2014;10538275
12;2014;5659715
13;2014;1314870
14;2014;5471753
15;2014;66458153
16;2014;3729500
17;2014;81197537
18;2014;10858018
19;2014;9855571
20;2014;329100
21;2014;4677627
22;2014;60795612
23;2014;1802000
24;2014;1986096
25;2014;2921262
26;2014;562958
27;2014;439691
28;2014;3555159
29;2014;622099
30;2014;16900726
31;2014;5166493
32;2014;38005614
33;2014;10341330
34;2014;19870647
35;2014;144100000
36;2014;7114393
37;2014;5421349
38;2014;2062874
39;2014;46449565
40;2014;9747355
41;2014;8237666
42;2014;2069172
43;2014;77695904
44;2014;42759661
45;2014;57885413
46;2014;1851621
47;2014;5373000
2;2015;2875592
3;2015;2998577
4;2015;8700471
5;2015;9705643
6;2015;11311117
7;2015;3386300
8;2015;7153784
9;2015;4190669
10;2015;848319
11;2015;10553843
12;2015;5707251
13;2015;1315944
14;2015;5487308
15;2015;66638391
16;2015;3720400
17;2015;82175684
18;2015;10783748
19;2015;9830485
20;2015;332529
21;2015;4726286
22;2015;60665551
23;2015;1771604
24;2015;1968957
25;2015;2888558
26;2015;576249
27;2015;450415
28;2015;3728000
29;2015;622218
30;2015;16979120
31;2015;5210721
32;2015;37967209
33;2015;10309573
34;2015;19760585
35;2015;144300000
36;2015;7076372
37;2015;5426252
38;2015;2064188
39;2015;46440099
40;2015;9851017
41;2015;8327126
42;2015;2071278
43;2015;78741053
44;2015;42590879
45;2015;58381217
46;2015;1862137
47;2015;5404700
